# time[15min]       val_phen1     state_curr1    val_control1
              0           9.07          0.907             10
              1           13.5           2.62             10
              2           12.3           3.96             10
              3           14.9           5.35             10
              4           14.1           6.47             10
              5           15.8           7.57             10
              6           14.2           8.35             10
              7           16.9           9.29             10
              8           14.3           9.83             10
              9           17.1           10.6             10
             10           16.3           11.1             10
             11           18.9           11.8             10
             12           14.9             12             10
             13           16.4           12.4             10
             14           16.9           12.7             10
             15           16.9             13             10
             16           17.4           13.3             10
             17           16.5           13.4             10
             18           18.7           13.8             10
             19           18.3           14.1             10
             20           18.7           14.3             10
             21           19.1           14.6             10
             22           19.6           14.9             10
             23           19.1             15             10
             24           19.1           15.2             10
             25           19.4           15.4             10
             26             19           15.5             10
             27           18.1           15.4             10
             28           18.3           15.5             10
             29           19.2           15.6             10
             30           19.7           15.7             10
             31           19.2           15.8             10
             32           20.8             16             10
             33           17.7           15.8             10
             34           17.3           15.7             10
             35           17.3           15.6             10
             36           17.4           15.5             10
             37             16           15.3             10
             38           17.6           15.2             10
             39           16.7           15.1             10
             40             15           14.9             10
             41           14.8           14.6             10
             42           14.3           14.3             10
             43           14.9           14.2             10
             44           14.6             14             10
             45           14.9           13.9             10
             46           12.9           13.6             10
             47           11.8           13.2             10
             48           13.5           13.1             10
             49           11.2           12.8             10
             50           13.4           12.7             10
             51           12.8           12.6             10
             52           10.4           12.2             10
             53           11.4             12             10
             54           9.73           11.7             10
             55           10.8           11.5             10
             56           8.47           11.1             10
             57           9.42           10.9             10
             58           7.62           10.5             10
             59           5.96           10.1             10
             60           6.88           9.73             10
             61           5.76           9.35             10
             62           6.93           9.14             10
             63           5.81           8.85             10
             64           4.96           8.52             10
             65           6.68           8.41             10
             66           5.27           8.17             10
             67            6.7           8.12             10
             68           5.78           7.98             10
             69           4.72           7.75             10
             70           4.35           7.53             10
             71           4.89           7.39             10
             72           4.88           7.27             10
             73           4.96           7.17             10
             74           4.29           7.03             10
             75           5.14           6.99             10
             76           4.58            6.9             10
             77           6.03           6.96             10
             78            7.9           7.21             10
             79           6.35           7.26             10
             80           5.88           7.26             10
             81           5.26            7.2             10
             82           6.16           7.23             10
             83           6.51            7.3             10
             84           6.25           7.33             10
             85           8.03           7.53             10
             86           6.08           7.51             10
             87              7           7.58             10
             88           7.38           7.68             10
             89           7.87           7.82             10
             90           9.27           8.07             10
             91             12           8.56             10
             92           9.41           8.72             10
             93           10.7           8.98             10
             94           10.9           9.23             10
             95           8.26           9.17             10
             96           10.4           9.33             10
             97           12.1           9.64             10
             98           11.9           9.89             10
             99           11.8           10.1             10
            100           12.6           10.3             10
            101           11.9           10.5             10
            102           13.8           10.8             10
            103           14.9           11.2             10
            104           14.9           11.5             10
            105           13.6           11.6             10
            106           16.8           12.1             10
            107           16.6           12.4             10
            108           14.2           12.5             10
            109           14.1           12.5             10
            110           16.8           12.8             10
            111           16.7           13.1             10
            112           17.3           13.3             10
            113           17.8           13.6             10
            114           16.9           13.8             10
            115           16.7           13.9             10
            116           17.5             14             10
            117           18.6           14.3             10
            118           18.3           14.5             10
            119           17.9           14.6             10
            120           18.6           14.8             10
            121           19.8             15             10
            122           19.6           15.2             10
            123           18.7           15.3             10
            124           18.4           15.4             10
            125             20           15.6             10
            126           18.4           15.6             10
            127           18.5           15.6             10
            128           19.2           15.7             10
            129           19.4           15.7             10
            130           18.2           15.7             10
            131           19.1           15.8             10
            132             19           15.8             10
            133           16.5           15.6             10
            134           18.4           15.6             10
            135           18.8           15.6             10
            136           17.1           15.5             10
            137           15.9           15.3             10
            138           18.5           15.3             10
            139           16.5           15.2             10
            140           14.7           14.9             10
            141             15           14.6             10
            142           13.7           14.3             10
            143           13.7             14             10
            144           13.9           13.8             10
            145           14.3           13.7             10
            146           13.2           13.4             10
            147           14.3           13.4             10
            148           14.3           13.3             10
            149           11.3           12.9             10
            150           12.5           12.7             10
            151           12.8           12.6             10
            152           10.3           12.2             10
            153           8.14           11.7             10
            154           9.41           11.4             10
            155           9.04           11.1             10
            156            9.7           10.9             10
            157           7.76           10.5             10
            158           8.57           10.3             10
            159           7.03           9.97             10
            160           6.69           9.65             10
            161           6.42           9.34             10
            162           6.06           9.05             10
            163           5.07            8.7             10
            164            5.8           8.47             10
            165           5.33           8.23             10
            166           6.17           8.12             10
            167           4.99            7.9             10
            168           5.29           7.74             10
            169           4.03           7.48             10
            170           5.13           7.37             10
            171           4.88           7.26             10
            172           3.77           7.04             10
            173           3.47           6.84             10
            174           6.15           6.93             10
            175           4.57           6.84             10
            176           5.55           6.87             10
            177           7.16           7.06             10
            178            4.6           6.96             10
            179           6.94           7.11             10
            180           4.15           6.96             10
            181           5.05           6.92             10
            182           5.12           6.89             10
            183           6.32           6.99             10
            184           5.47           6.99             10
            185           7.15           7.16             10
            186           5.55           7.14             10
            187           7.18           7.28             10
            188           8.76           7.57             10
            189           5.79           7.51             10
            190           7.91           7.68             10
            191            8.8            7.9             10
